kod_cast,radon,populace,okres,kraj
186376,1.0,117.0,Prostějov,Olomoucký kraj
175927,2.0,153.0,Olomouc,Olomoucký kraj
006432,1.0,2383.0,Olomouc,Olomoucký kraj
151246,1.0,1539.0,Prostějov,Olomoucký kraj
185531,1.0,246.0,Prostějov,Olomoucký kraj
039942,1.0,1018.0,Olomouc,Olomoucký kraj
174327,1.0,205.0,Olomouc,Olomoucký kraj
413674,1.0,6910.0,Olomouc,Olomoucký kraj
101389,1.0,114.0,Olomouc,Olomoucký kraj
135992,1.0,333.0,Olomouc,Olomoucký kraj
101419,1.0,582.0,Olomouc,Olomoucký kraj
186970,1.0,349.0,Olomouc,Olomoucký kraj
016691,2.0,979.0,Olomouc,Olomoucký kraj
155756,1.0,88.0,Kroměříž,Zlínský kraj
116351,1.0,857.0,Uherské Hradiště,Zlínský kraj
117366,1.0,214.0,Kroměříž,Zlínský kraj
104655,1.0,217.0,Kroměříž,Zlínský kraj
045659,1.0,28.0,Uherské Hradiště,Zlínský kraj
092631,1.0,446.0,Uherské Hradiště,Zlínský kraj
174050,1.0,236.0,Uherské Hradiště,Zlínský kraj
070157,1.0,2838.0,Prostějov,Olomoucký kraj
121169,1.0,695.0,Prostějov,Olomoucký kraj
157732,1.0,396.0,Uherské Hradiště,Zlínský kraj
084883,1.0,272.0,Kroměříž,Zlínský kraj
141500,1.0,654.0,Kroměříž,Zlínský kraj
112658,1.0,729.0,Uherské Hradiště,Zlínský kraj
143243,1.0,429.0,Uherské Hradiště,Zlínský kraj
412660,1.0,5337.0,Uherské Hradiště,Zlínský kraj
195863,1.0,828.0,Zlín,Zlínský kraj
043591,1.0,784.0,Uherské Hradiště,Zlínský kraj
150274,1.0,671.0,Uherské Hradiště,Zlínský kraj
032646,1.0,481.0,Uherské Hradiště,Zlínský kraj
013072,1.0,1802.0,Zlín,Zlínský kraj
412619,1.0,12714.0,Uherské Hradiště,Zlínský kraj
412201,1.0,4084.0,Zlín,Zlínský kraj
183890,1.0,2810.0,Uherské Hradiště,Zlínský kraj
014591,1.0,1664.0,Uherské Hradiště,Zlínský kraj
124265,1.0,851.0,Uherské Hradiště,Zlínský kraj
151106,1.0,318.0,Zlín,Zlínský kraj
164135,1.0,469.0,Zlín,Zlínský kraj
013803,1.0,801.0,Uherské Hradiště,Zlínský kraj
085278,1.0,363.0,Kroměříž,Zlínský kraj
412147,1.0,2877.0,Zlín,Zlínský kraj
146307,1.0,751.0,Zlín,Zlínský kraj
049760,1.0,2084.0,Vsetín,Zlínský kraj
164232,1.0,1561.0,Uherské Hradiště,Zlínský kraj
004782,1.0,646.0,Zlín,Zlínský kraj
043281,1.0,565.0,Zlín,Zlínský kraj
049166,1.0,528.0,Zlín,Zlínský kraj
074829,2.0,219.0,Třebíč,Kraj Vysočina
058149,2.0,71.0,Třebíč,Kraj Vysočina
109452,2.0,108.0,Třebíč,Kraj Vysočina
181480,2.0,404.0,Třebíč,Kraj Vysočina
101460,2.0,164.0,Třebíč,Kraj Vysočina
048721,1.0,777.0,Vyškov,Jihomoravský kraj
192121,1.0,720.0,Vyškov,Jihomoravský kraj
040231,1.0,1044.0,Vyškov,Jihomoravský kraj
075884,1.0,1905.0,Vyškov,Jihomoravský kraj
094650,1.0,684.0,Vyškov,Jihomoravský kraj
126373,1.0,708.0,Zlín,Zlínský kraj
126870,1.0,193.0,Zlín,Zlínský kraj
067334,1.0,712.0,Vyškov,Jihomoravský kraj
104744,1.0,850.0,Vyškov,Jihomoravský kraj
104761,1.0,750.0,Vyškov,Jihomoravský kraj
087653,1.0,722.0,Vyškov,Jihomoravský kraj
180807,1.0,803.0,Hodonín,Jihomoravský kraj
099236,1.0,1953.0,Hodonín,Jihomoravský kraj
084361,1.0,1362.0,Hodonín,Jihomoravský kraj
048542,1.0,1129.0,Hodonín,Jihomoravský kraj
005312,1.0,1865.0,Hodonín,Jihomoravský kraj
005347,1.0,397.0,Hodonín,Jihomoravský kraj
066842,1.0,1036.0,Hodonín,Jihomoravský kraj
071951,1.0,507.0,Hodonín,Jihomoravský kraj
087203,1.0,877.0,Hodonín,Jihomoravský kraj
090425,1.0,150.0,Hodonín,Jihomoravský kraj
196452,1.0,176.0,Hodonín,Jihomoravský kraj
068624,1.0,270.0,Kroměříž,Zlínský kraj
414476,1.0,6607.0,Přerov,Olomoucký kraj
073105,2.0,133.0,Třebíč,Kraj Vysočina
412732,1.0,7073.0,Vyškov,Jihomoravský kraj
088447,1.0,628.0,Zlín,Zlínský kraj
150614,1.0,541.0,Zlín,Zlínský kraj
321966,1.0,1104.0,Uherské Hradiště,Zlínský kraj
176885,1.0,183.0,Uherské Hradiště,Zlínský kraj
050318,1.0,1299.0,Zlín,Zlínský kraj
070131,1.0,1909.0,Zlín,Zlínský kraj
070149,1.0,1798.0,Zlín,Zlínský kraj
070882,1.0,411.0,Uherské Hradiště,Zlínský kraj
183270,1.0,1042.0,Zlín,Zlínský kraj
027278,1.0,223.0,Zlín,Zlínský kraj
125466,1.0,257.0,Zlín,Zlínský kraj
132829,1.0,990.0,Uherské Hradiště,Zlínský kraj
412651,1.0,6526.0,Uherské Hradiště,Zlínský kraj
189740,1.0,1233.0,Zlín,Zlínský kraj
014702,1.0,933.0,Uherské Hradiště,Zlínský kraj
086835,1.0,235.0,Uherské Hradiště,Zlínský kraj
063037,1.0,261.0,Zlín,Zlínský kraj
043354,1.0,1291.0,Vsetín,Zlínský kraj
147109,1.0,637.0,Zlín,Zlínský kraj
